epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,712.648,0.6297,0.50251,0.8956,0.85892,0.70785,0.79582,0.59342,0.85003,0.85736,0.99853,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,727.794,0.63634,0.49786,0.90483,0.79934,0.76107,0.81234,0.61117,0.82496,0.78246,0.99203,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,742.881,0.63091,0.49434,0.89211,0.80243,0.76215,0.81324,0.60639,0.85536,0.83424,0.99911,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,757.944,0.62713,0.4903,0.89033,0.77124,0.75737,0.80878,0.60191,0.83338,0.79759,0.99615,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,773.059,0.61467,0.49121,0.89267,0.81026,0.75714,0.80715,0.60173,0.83345,0.77869,0.97875,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,788.229,0.61957,0.48394,0.89223,0.77348,0.74086,0.78878,0.58829,0.83067,0.86718,0.98987,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,803.307,0.61418,0.47783,0.89592,0.78235,0.77504,0.81898,0.6048,0.84673,0.78882,0.99621,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,818.319,0.61594,0.47849,0.89247,0.7899,0.76467,0.81508,0.60792,0.81009,0.77742,0.98113,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,833.249,0.61669,0.48262,0.88761,0.83006,0.77024,0.82183,0.61848,0.81982,0.76702,0.98405,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
56,847.933,0.62318,0.48139,0.89774,0.82351,0.75973,0.80911,0.61247,0.84127,0.88756,1.00262,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
