epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,693.822,0.68483,0.54852,0.91762,0.79487,0.71358,0.76495,0.57341,0.89911,0.91141,1.04591,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,704.418,0.67302,0.53648,0.90676,0.79301,0.76377,0.7982,0.58536,0.91432,0.84955,1.01599,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,714.753,0.67438,0.54201,0.9103,0.80609,0.75698,0.80949,0.59048,0.90175,0.86585,1.02459,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,724.96,0.67683,0.53456,0.9029,0.81789,0.69845,0.79055,0.58132,0.90299,0.87444,1.00635,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,735.052,0.67092,0.52836,0.89729,0.78961,0.78199,0.80093,0.60138,0.85196,0.83343,0.99716,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,745.134,0.65185,0.51376,0.89681,0.76576,0.76294,0.79771,0.57732,0.89712,0.88615,1.00453,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,754.928,0.64874,0.51683,0.89675,0.84334,0.72664,0.80992,0.59148,0.8953,0.85313,1.02357,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,765.088,0.66685,0.53273,0.9061,0.78297,0.74474,0.79322,0.5923,0.8944,0.8568,1.03358,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,775.147,0.66355,0.52825,0.89902,0.79071,0.70361,0.78471,0.57826,0.91416,0.87341,1.05235,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,785.073,0.65354,0.51205,0.90361,0.81282,0.7048,0.78734,0.58607,0.86917,0.87258,1.0183,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
